nom,codeCommune,nomCommune,cp,designationAPE,designationEPRTR
Compagnie des Fromages et Richesmonts,50168,Ducey,50220,Fabrication de fromage,8.(c),Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
STE BEURRIERE D'ISIGNY,50256,Isigny-le-Buat,50540,Fabrication de beurre,8.(c),Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
ELECTROPOLI FRANCE site d'Isigny,50256,Isigny-le-Buat,50540,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
SOCIETE FROMAGERE DE SAINTE CECILE,50453,Sainte-Cécile,50800,Fabrication de fromage,8.(c),Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
ELVIR,50139,Condé-sur-Vire,50890,Fabrication de beurre,8.(c),Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
SAINT ANDRE PLASTIQUE,50446,Saint-André-de-l'Épine,50680,Fabrication d'emballages en matières plastiques,,
MAITRES LAITIERS DU COTENTIN,50579,Sottevast,50260,Fabrication de fromage,8.(c),Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
ELVIA PRINTED CIRCUIT BOARDS COUTANCES,50147,Coutances,50200,Fabrication de composants électroniques,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
CARGILL - Site de Baupte,50036,Baupte,50500,Fabrication d'autres produits alimentaires n.c.a.,4.(e),Installations utilisant un procédé chimique ou biologique pour la fabrication industrielle de produits pharmaceutiques de base
LIS FRANCE,50109,Cérences,50510,Fabrication d'autres produits alimentaires n.c.a.,,
CPC COTENTIN,50236,La Haye-du-Puits,50250,Autre imprimerie (labeur),9.(c),"Installations destinées au traitement de surface de matières, d'objets ou de produits à l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an"
MAITRES LAITIERS DU COTENTIN,50615,Valognes,50700,Fabrication de fromage,8.(c),Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
KME Brass France,61342,Rai,61270,Métallurgie du cuivre,2.(e).(ii),"destinées à la fusion, y compris l'alliage, de métaux non ferreux et notamment de produits de récupération (affinage, moulage en fonderie, etc.) d'une capacité de fusion de 4 tonnes par jour pour le plomb et le cadmium ou de 20 tonnes par jour pour tous les autres métaux"
SUEZ RV Normandie - ISDND de FEL,61161,Fel,61160,Traitement et élimination des déchets non dangereux,5.(d),"Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes"
AMCOR FLEXIBLES,61006,Argentan,61200,Fabrication d'emballages en papier,9.(c),"Installations destinées au traitement de surface de matières, d'objets ou de produits à l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an"
SCA HYGIENE PRODUCTS SUPPLY - USINE DU THEIL SUR HUISNE,61484,Le Theil,61260,Fabrication d'articles en papier à usage sanitaire ou domestique,6.(b),"Installations industrielles destinées à la fabrication de papier et de carton et d'autres produits dérivés du bois (tels que l'aggloméré, les panneaux de fibres de bois et le contreplaqué) d'une capacité de production de 20 tonnes par jour"
PCAS Usine de Couterne,61135,Couterne,61410,Fabrication d'autres produits chimiques n.c.a.,4.(e),Installations utilisant un procédé chimique ou biologique pour la fabrication industrielle de produits pharmaceutiques de base
SOCIETE LAITIERE DU PAYS D'AUGE - SOLAIPA,61508,Vimoutiers,61120,Fabrication d'autres produits laitiers,8.(c),Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
ISDND de Billy,14074,Billy,14370,Traitement et élimination des déchets non dangereux,5.(d),"Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes"
SUEZ RV Normandie - ISDND de Perche en Nocé,61112,Colonard-Corubert,61340,Traitement et élimination des déchets non dangereux,5.(d),"Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes"
Usine d'Incinération avec Valorisation Energétique,14167,Colombelles,14460,Traitement et élimination des déchets non dangereux,5.(b),Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
METAL PROTECTION,89046,Bléneau,89220,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
BAUDOIN THILLIEN,89024,Auxerre,89000,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
KRONOSPAN SAS Auxerre,89024,Auxerre,89006,Fabrication de placage et de panneaux de bois,,
THE VALSPAR CORPORATION SAS,71543,Tournus,71700,"Fabrication de peintures, vernis, encres et mastics",,
SNDCE,71512,Sennecey-le-Grand,71240,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
KRONOSPAN SAS Le Creusot,71310,Montchanin,71210,Fabrication de placage et de panneaux de bois,,
BOURGOGNE RECYCLAGE,21355,Longvic,21600,Récupération de déchets triés,,
CONSTELLIUM EXTRUSION FRANCE,21464,Nuits-Saint-Georges,21700,Métallurgie de l'aluminium,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
PPG AC,21292,Genlis,21110,"Fabrication de peintures, vernis, encres et mastics",,
Amcor Flexibles Dijon,21231,Dijon,21000,Fabrication d'emballages métalliques légers,9.(c),"Installations destinées au traitement de surface de matières, d'objets ou de produits à l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an"
RAFFINERIE DU MIDI,21231,Dijon,21000,Entreposage et stockage non frigorifique,,
EUROSERUM,71448,Saint-Martin-Belle-Roche,71118,Fabrication d'autres produits laitiers,8.(c),Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
PARKER HANNIFIN MFG FRANCE SAS,21355,Longvic,21604,"Fabrication de moteurs, génératrices et transformateurs électriques",,
CET DE DRAMBON CLASSE 1 ET 2,21233,Drambon,21270,Traitement et élimination des déchets dangereux,5.(d),"Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes"
I.S.D.N.D de Torcy,71540,Torcy,71210,Traitement et élimination des déchets non dangereux,5.(d),"Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes"
Unité de production de Dijon Epirey,21231,Dijon,21078,Fabrication de matériel d'installation électrique,,
Unité de Valorisation des Ordures Ménagères,21231,Dijon,21000,Traitement et élimination des déchets non dangereux,5.(b),Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
ARCELORMITTAL SAINTE COLOMBE,21545,Sainte-Colombe-sur-Seine,21400,Tréfilage à froid,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
INDUSTEEL FRANCE Site du CREUSOT,71153,Le Creusot,71201,Sidérurgie,2.(d),Fonderies de métaux ferreux d'une capacité de productionde 20 tonnes par jour
SETFORGE LA CLAYETTE SOCIETE NOUVELLE,71133,La Clayette,71800,"Forge, estampage, matriçage ,  métallurgie des poudres",,
Thermie Bourgogne Industrie,21171,Chevigny-Saint-Sauveur,21800,Traitement et revêtement des métaux,,
ADHEX TECHNOLOGIES,21166,Chenôve,21304,Fabrication d'autres articles en caoutchouc,4.(a).(viii),"matières plastiques de base (polymères, fibres synthétiques, fibres à base de cellulose)"
CROWN Emballage France SAS - Usine de CHATILLON-sur-SEINE,21154,Châtillon-sur-Seine,21400,Fabrication d'emballages métalliques légers,9.(c),"Installations destinées au traitement de surface de matières, d'objets ou de produits à l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an"
Malteries FRANCO-BELGES,21103,Brazey-en-Plaine,21470,Fabrication de malt,,
Etablissement de Gron,89195,Gron,89100,Fabrication d'autres fils et câbles électroniques ou électriques,2.(e).(ii),"destinées à la fusion, y compris l'alliage, de métaux non ferreux et notamment de produits de récupération (affinage, moulage en fonderie, etc.) d'une capacité de fusion de 4 tonnes par jour pour le plomb et le cadmium ou de 20 tonnes par jour pour tous les autres métaux"
Safran Aircraft Engines Le Creusot,71153,Le Creusot,71200,Construction aéronautique et spatiale,,
VERALLIA - Usine de Chalon sur Saône,71076,Chalon-sur-Saône,71103,Fabrication de verre creux,3.(e),"Installations destinées à la fabrication du verre, y compris de fibres de verre d'une capacité de fusion de 20 tonnes par jour"
NORDEON et MARVELL GLASS (anciennement Philips),71076,Chalon-sur-Saône,71106,Fabrication d'appareils d'éclairage électrique,3.(e),"Installations destinées à la fabrication du verre, y compris de fibres de verre d'une capacité de fusion de 20 tonnes par jour"
I.S.D.N.D des Battées,89378,Sauvigny-le-Bois,89200,Traitement et élimination des déchets non dangereux,5.(d),"Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes"
